Datetime,Open,High,Low,Close,Volume
2026-04-02 09:15:00,1357.0,1358.0,1349.0,1353.1,239974.0
2026-04-02 09:16:00,1353.6,1356.1,1353.0,1353.8,143884.0
2026-04-02 09:17:00,1353.7,1356.1,1353.6,1354.7,74571.0
2026-04-02 09:18:00,1354.5,1354.7,1349.5,1351.1,124497.0
2026-04-02 09:19:00,1350.9,1353.0,1349.4,1351.2,171635.0
2026-04-02 09:20:00,1351.8,1353.8,1351.6,1352.7,38312.0
2026-04-02 09:21:00,1352.6,1353.2,1351.3,1351.3,52668.0
2026-04-02 09:22:00,1351.7,1353.4,1351.6,1353.4,39175.0
2026-04-02 09:23:00,1353.0,1353.4,1351.0,1351.8,73142.0
2026-04-02 09:24:00,1351.9,1353.3,1350.5,1351.2,40978.0
2026-04-02 09:25:00,1351.5,1352.9,1350.8,1352.0,48622.0
2026-04-02 09:26:00,1352.1,1352.1,1349.7,1350.4,71188.0
2026-04-02 09:27:00,1350.4,1352.0,1350.3,1351.8,35149.0
2026-04-02 09:28:00,1351.8,1352.0,1350.1,1350.1,31269.0
2026-04-02 09:29:00,1350.3,1351.6,1350.3,1350.7,17922.0
2026-04-02 09:30:00,1350.3,1351.5,1349.8,1350.9,69964.0
2026-04-02 09:31:00,1350.9,1351.0,1349.5,1349.6,35438.0
2026-04-02 09:32:00,1349.5,1350.6,1349.4,1350.2,34632.0
2026-04-02 09:33:00,1350.2,1350.9,1349.4,1350.9,38177.0
2026-04-02 09:34:00,1350.9,1351.6,1350.0,1351.4,26048.0
2026-04-02 09:35:00,1351.1,1351.1,1350.4,1350.5,25497.0
2026-04-02 09:36:00,1350.2,1351.1,1349.6,1350.9,31020.0
2026-04-02 09:37:00,1350.9,1351.5,1350.0,1350.1,21645.0
2026-04-02 09:38:00,1350.0,1350.1,1349.4,1350.0,59280.0
2026-04-02 09:39:00,1350.0,1350.1,1346.2,1346.7,96635.0
2026-04-02 09:40:00,1346.7,1347.0,1346.0,1346.7,44373.0
2026-04-02 09:41:00,1347.0,1347.9,1346.6,1346.6,40614.0
2026-04-02 09:42:00,1346.4,1346.8,1345.0,1345.3,48395.0
2026-04-02 09:43:00,1345.1,1345.5,1344.0,1344.2,65711.0
2026-04-02 09:44:00,1343.8,1344.2,1343.1,1343.5,31809.0
