datetime,open,high,low,close,volume
2026-04-27 09:15:00,289.6,289.6,173.85,178.2,244660
2026-04-27 09:16:00,149.3,156.7,137.35,151.0,1316900
2026-04-27 09:17:00,151.85,171.7,151.0,168.95,834405
2026-04-27 09:18:00,167.2,168.95,146.2,147.75,645970
2026-04-27 09:19:00,148.1,159.8,146.55,148.85,521495
2026-04-27 09:20:00,175.95,177.85,165.45,167.9,128310
2026-04-27 09:21:00,164.6,167.9,153.9,153.9,189670
2026-04-27 09:22:00,154.35,158.5,149.45,152.55,233350
2026-04-27 09:23:00,152.8,160.8,151.9,160.4,184145
2026-04-27 09:24:00,161.15,164.8,156.85,159.9,167375
2026-04-27 09:25:00,161.0,161.1,147.85,153.7,189540
2026-04-27 09:26:00,152.1,171.6,152.1,168.4,252655
2026-04-27 09:27:00,167.0,170.1,149.85,150.45,224575
2026-04-27 09:28:00,152.55,154.3,144.65,148.3,171860
2026-04-27 09:29:00,148.8,163.45,148.3,159.1,222950
2026-04-27 09:30:00,155.85,163.8,150.8,160.55,180960
2026-04-27 09:31:00,161.5,163.15,155.0,156.9,111800
2026-04-27 09:32:00,156.95,174.3,154.5,170.8,319865
2026-04-27 09:33:00,144.4,154.2,141.95,146.9,1818765
2026-04-27 09:34:00,148.25,160.0,138.45,157.4,1318590
2026-04-27 09:35:00,157.3,158.95,142.65,147.7,949260
2026-04-27 09:36:00,180.45,180.45,168.05,173.5,159055
2026-04-27 09:37:00,145.85,154.5,144.65,150.85,740740
2026-04-27 09:38:00,153.25,164.45,150.85,156.0,1509690
2026-04-27 09:39:00,155.7,159.85,147.4,159.35,710775
2026-04-27 09:40:00,158.4,159.35,147.4,149.55,568815
2026-04-27 09:41:00,150.3,155.9,144.25,154.75,659880
2026-04-27 09:42:00,153.35,157.55,149.2,152.45,419900
2026-04-27 09:43:00,184.7,185.75,166.2,166.3,181805
2026-04-27 09:44:00,164.0,170.7,159.0,161.6,207935
2026-04-27 09:45:00,160.05,161.6,148.75,148.95,309660
2026-04-27 09:46:00,148.85,151.4,142.15,145.2,255710
2026-04-27 09:47:00,145.65,149.3,143.85,145.5,225160
2026-04-27 09:48:00,175.85,178.0,163.25,166.6,411840
