datetime,close,high,low,open,volume
2026-04-07 03:45:00+00:00,22762.80078125,22834.80078125,22720.44921875,22834.80078125,0
2026-04-07 03:46:00+00:00,22739.30078125,22770.5,22734.75,22764.0,0
2026-04-07 03:47:00+00:00,22772.80078125,22773.94921875,22740.69921875,22741.650390625,0
2026-04-07 03:48:00+00:00,22766.599609375,22784.80078125,22764.099609375,22775.75,0
2026-04-07 03:49:00+00:00,22773.05078125,22790.19921875,22766.0,22767.650390625,0
2026-04-07 03:50:00+00:00,22770.349609375,22774.30078125,22758.75,22773.75,0
2026-04-07 03:51:00+00:00,22788.69921875,22790.5,22764.25,22772.05078125,0
2026-04-07 03:52:00+00:00,22818.099609375,22820.599609375,22786.650390625,22791.5,0
2026-04-07 03:53:00+00:00,22813.599609375,22825.80078125,22794.849609375,22817.650390625,0
2026-04-07 03:54:00+00:00,22802.150390625,22819.80078125,22802.150390625,22817.55078125,0
2026-04-07 03:55:00+00:00,22816.19921875,22822.69921875,22801.30078125,22804.650390625,0
2026-04-07 03:56:00+00:00,22869.900390625,22872.55078125,22815.900390625,22816.05078125,0
2026-04-07 03:57:00+00:00,22875.94921875,22887.05078125,22863.0,22871.55078125,0
2026-04-07 03:58:00+00:00,22879.349609375,22885.099609375,22872.900390625,22877.30078125,0
2026-04-07 03:59:00+00:00,22889.849609375,22892.599609375,22872.349609375,22880.80078125,0
2026-04-07 04:00:00+00:00,22897.75,22900.650390625,22890.55078125,22891.44921875,0
2026-04-07 04:01:00+00:00,22882.25,22900.05078125,22879.55078125,22900.05078125,0
2026-04-07 04:02:00+00:00,22881.099609375,22884.25,22868.900390625,22883.80078125,0
2026-04-07 04:03:00+00:00,22875.05078125,22881.25,22870.400390625,22881.25,0
2026-04-07 04:04:00+00:00,22858.349609375,22875.349609375,22856.75,22875.25,0
2026-04-07 04:05:00+00:00,22841.05078125,22860.19921875,22837.650390625,22860.19921875,0
2026-04-07 04:06:00+00:00,22858.80078125,22859.5,22841.69921875,22843.349609375,0
2026-04-07 04:07:00+00:00,22867.44921875,22880.349609375,22858.599609375,22860.349609375,0
2026-04-07 04:08:00+00:00,22846.05078125,22870.30078125,22844.30078125,22869.5,0
2026-04-07 04:09:00+00:00,22851.25,22856.400390625,22846.349609375,22847.349609375,0
2026-04-07 04:10:00+00:00,22860.55078125,22868.5,22854.05078125,22854.900390625,0
2026-04-07 04:11:00+00:00,22842.25,22865.0,22842.25,22862.05078125,0
2026-04-07 04:12:00+00:00,22832.150390625,22845.599609375,22825.30078125,22845.599609375,0
2026-04-07 04:13:00+00:00,22794.94921875,22832.400390625,22794.599609375,22832.400390625,0
2026-04-07 04:14:00+00:00,22801.80078125,22806.19921875,22793.0,22797.30078125,0
2026-04-07 04:15:00+00:00,22820.44921875,22821.05078125,22803.25,22803.25,0
2026-04-07 04:16:00+00:00,22831.900390625,22844.349609375,22821.400390625,22821.75,0
