Datetime,Close,High,Low,Open,pdh,pdl,pdc,pp,r1,r2,s1,s2,bull_trigger,bear_trigger
2026-04-01 09:15:00,22887.0,22894.69921875,22811.400390625,22878.900390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:20:00,22899.55078125,22902.400390625,22872.55078125,22888.599609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:25:00,22929.75,22930.150390625,22898.25,22900.0,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:30:00,22854.5,22936.900390625,22845.44921875,22928.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:35:00,22828.099609375,22854.0,22824.150390625,22853.25,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,True
2026-04-01 09:40:00,22854.94921875,22873.69921875,22827.400390625,22828.5,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:45:00,22897.55078125,22898.099609375,22848.5,22851.44921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:50:00,22915.150390625,22932.099609375,22896.19921875,22897.75,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 09:55:00,22893.150390625,22919.099609375,22885.0,22914.94921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:00:00,22927.150390625,22941.0,22890.44921875,22892.900390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:05:00,22906.80078125,22932.0,22905.099609375,22927.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:10:00,22868.849609375,22907.44921875,22862.55078125,22907.44921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:15:00,22871.150390625,22878.849609375,22857.400390625,22867.900390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:20:00,22828.349609375,22879.44921875,22822.05078125,22871.69921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:25:00,22796.5,22828.150390625,22772.099609375,22827.849609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,True
2026-04-01 10:30:00,22796.0,22816.30078125,22778.349609375,22797.099609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:35:00,22813.80078125,22816.400390625,22796.150390625,22796.400390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:40:00,22807.5,22815.0,22787.349609375,22813.150390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:45:00,22797.150390625,22820.25,22791.900390625,22808.599609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:50:00,22789.849609375,22802.05078125,22783.44921875,22797.599609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 10:55:00,22770.75,22791.5,22769.69921875,22791.5,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:00:00,22749.099609375,22771.349609375,22744.5,22771.349609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:05:00,22770.55078125,22786.0,22738.599609375,22748.69921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:10:00,22763.75,22791.650390625,22758.099609375,22771.19921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:15:00,22767.19921875,22767.55078125,22747.69921875,22763.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:20:00,22781.650390625,22782.80078125,22764.900390625,22766.80078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:25:00,22790.099609375,22800.650390625,22781.5,22781.5,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:30:00,22798.5,22811.650390625,22786.44921875,22788.849609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:35:00,22813.44921875,22814.349609375,22788.849609375,22797.650390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:40:00,22799.150390625,22822.650390625,22798.19921875,22813.5,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:45:00,22754.099609375,22798.650390625,22743.650390625,22797.650390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:50:00,22745.599609375,22765.0,22742.599609375,22751.94921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 11:55:00,22775.900390625,22778.150390625,22736.94921875,22743.19921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:00:00,22838.75,22841.150390625,22774.099609375,22774.099609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:05:00,22839.150390625,22842.400390625,22827.0,22834.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:10:00,22859.30078125,22864.599609375,22828.150390625,22837.80078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:15:00,22837.75,22864.19921875,22834.69921875,22857.75,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:20:00,22831.400390625,22841.94921875,22825.55078125,22836.30078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:25:00,22832.80078125,22836.94921875,22817.849609375,22829.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:30:00,22829.5,22847.400390625,22824.25,22831.0,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:35:00,22842.5,22842.69921875,22816.55078125,22827.94921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:40:00,22834.599609375,22856.349609375,22829.55078125,22841.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:45:00,22868.650390625,22881.099609375,22833.849609375,22834.94921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:50:00,22873.55078125,22875.55078125,22860.400390625,22868.44921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 12:55:00,22862.05078125,22874.349609375,22855.69921875,22873.05078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 13:00:00,22864.599609375,22873.599609375,22855.5,22862.099609375,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 13:05:00,22869.150390625,22878.55078125,22862.099609375,22864.900390625,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 13:10:00,22883.30078125,22883.400390625,22842.69921875,22868.94921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 13:15:00,22843.0,22897.94921875,22839.849609375,22883.19921875,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
2026-04-01 13:20:00,22810.599609375,22843.5,22805.599609375,22843.0,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,True
2026-04-01 13:25:00,22807.94921875,22812.44921875,22795.0,22810.55078125,22714.1,22283.85,22331.4,22443.1,22602.4,22873.35,22172.15,22012.85,False,False
