Datetime,Close,High,Low,Open,Volume,ema10,ema20,dema100,green_hammer,red_hammer,inv_red_hammer,bull_engulf,bear_engulf,morning_star,evening_star,pdh,pdl,pdc,pp,r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,bull_trigger,bear_trigger
2026-04-10 09:15:00,23895.5,23913.150390625,23867.19921875,23880.55078125,0,23797.354326921803,23786.493441948798,23757.004697017073,False,False,False,False,False,True,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:16:00,23938.0,23947.400390625,23893.25,23893.25,0,23822.926267481474,23800.922637953674,23763.892942029677,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:17:00,23942.30078125,23950.55078125,23935.80078125,23938.5,0,23844.630724530296,23814.387223029513,23770.747998406547,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:18:00,23942.5,23955.400390625,23939.349609375,23943.349609375,0,23862.42513825206,23826.588439883846,23777.409336136283,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:19:00,23965.69921875,23967.400390625,23942.05078125,23943.099609375,0,23881.20224379714,23839.837085490144,23784.78388973344,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:20:00,23962.349609375,23978.19921875,23955.349609375,23966.25,0,23895.956310265843,23851.50494490775,23791.80886937974,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,True,False
2026-04-10 09:21:00,23953.69921875,23964.69921875,23953.349609375,23961.69921875,0,23906.455020899324,23861.237732892725,23798.286061049504,False,False,False,False,False,False,True,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:22:00,23948.5,23956.44921875,23947.30078125,23954.75,0,23914.09956255399,23869.54842499818,23804.366339520846,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:23:00,23941.05078125,23952.599609375,23940.0,23949.25,0,23918.99978413508,23876.35817321264,23809.97261894831,False,False,False,False,True,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:24:00,23918.650390625,23942.599609375,23917.05078125,23940.55078125,0,23918.93625804234,23880.386003442392,23814.532103417267,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
