datetime,time,open,high,low,close,volume
2026-02-13 09:15:00,09:15:00,75.0,76.0,59.25,62.15,1674660
2026-02-13 09:20:00,09:20:00,56.55,56.8,53.3,56.6,895505
2026-02-13 09:25:00,09:25:00,54.55,54.65,52.55,52.75,542165
2026-02-13 09:30:00,09:30:00,48.5,48.8,46.0,46.6,781040
2026-02-13 09:35:00,09:35:00,45.5,46.0,44.9,45.75,508625
2026-02-13 09:40:00,09:40:00,43.3,43.3,41.2,43.05,732290
2026-02-13 09:45:00,09:45:00,43.9,44.75,43.35,44.55,283530
2026-02-13 09:50:00,09:50:00,41.75,42.65,41.55,41.9,267865
2026-02-13 09:55:00,09:55:00,43.05,43.4,42.3,42.4,241020
2026-02-13 10:00:00,10:00:00,41.1,42.35,41.1,42.0,195390
2026-02-13 10:05:00,10:05:00,43.05,43.1,42.1,42.2,91065
2026-02-13 10:10:00,10:10:00,41.05,41.35,40.6,40.85,108160
2026-02-13 10:15:00,10:15:00,40.5,40.5,39.15,40.35,444925
2026-02-13 10:20:00,10:20:00,40.5,41.85,40.2,41.45,207545
2026-02-13 10:25:00,10:25:00,41.85,42.3,41.7,41.8,227565
2026-02-13 10:30:00,10:30:00,42.0,43.15,41.85,42.25,273975
2026-02-13 10:35:00,10:35:00,58.15,59.3,57.1,58.4,688220
2026-02-13 10:40:00,10:40:00,35.2,35.3,34.5,35.2,355680
2026-02-13 10:45:00,10:45:00,43.4,43.9,42.4,42.4,238550
2026-02-13 10:50:00,10:50:00,40.2,40.2,38.15,39.75,448825
2026-02-13 10:55:00,10:55:00,40.35,41.5,39.85,41.4,187395
2026-02-13 11:00:00,11:00:00,39.25,40.05,38.75,40.05,272090
2026-02-13 11:05:00,11:05:00,37.2,37.5,36.8,37.1,173225
2026-02-13 11:10:00,11:10:00,36.4,37.35,36.4,37.15,121615
2026-02-13 11:15:00,11:15:00,37.5,38.1,37.05,37.35,213720
2026-02-13 11:20:00,11:20:00,34.75,35.0,34.55,34.9,157235
2026-02-13 11:25:00,11:25:00,35.15,35.5,35.15,35.4,179790
2026-02-13 11:30:00,11:30:00,36.7,36.9,35.05,35.15,217490
2026-02-13 11:35:00,11:35:00,35.5,36.05,35.3,35.85,118040
2026-02-13 11:40:00,11:40:00,35.6,35.8,35.35,35.4,393640
2026-02-13 11:45:00,11:45:00,37.65,38.0,36.65,37.35,320060
2026-02-13 11:50:00,11:50:00,36.85,37.2,36.4,37.1,131625
2026-02-13 11:55:00,11:55:00,36.85,37.35,36.3,37.15,126360
2026-02-13 12:00:00,12:00:00,37.8,38.6,37.5,37.5,186810
2026-02-13 12:05:00,12:05:00,38.4,38.85,38.15,38.45,179270
2026-02-13 12:10:00,12:10:00,39.25,39.4,38.6,39.2,143780
2026-02-13 12:15:00,12:15:00,40.75,40.9,39.5,39.5,169260
2026-02-13 12:20:00,12:20:00,41.0,42.05,40.4,41.85,325650
2026-02-13 12:25:00,12:25:00,41.15,41.55,40.7,41.4,136240
2026-02-13 12:30:00,12:30:00,44.35,45.05,43.0,43.75,376025
2026-02-13 12:35:00,12:35:00,48.55,48.7,46.9,47.25,442390
2026-02-13 12:40:00,12:40:00,46.1,46.3,44.4,44.8,166270
2026-02-13 12:45:00,12:45:00,33.3,34.4,33.25,34.3,230230
2026-02-13 12:50:00,12:50:00,41.3,41.4,38.7,39.85,563290
2026-02-13 12:55:00,12:55:00,37.3,37.8,36.3,36.35,287170
2026-02-13 13:00:00,13:00:00,35.95,37.15,35.7,36.3,209170
2026-02-13 13:05:00,13:05:00,35.3,35.65,35.1,35.25,107120
2026-02-13 13:10:00,13:10:00,36.45,36.7,35.95,36.35,219310
2026-02-13 13:15:00,13:15:00,38.75,40.25,38.7,39.7,419640
2026-02-13 13:20:00,13:20:00,39.9,40.25,37.95,38.2,241020
2026-02-13 13:25:00,13:25:00,35.5,35.85,34.8,35.25,282750
2026-02-13 13:30:00,13:30:00,35.2,36.15,35.1,35.85,142480
2026-02-13 13:35:00,13:35:00,35.35,35.95,35.3,35.45,139165
2026-02-13 13:40:00,13:40:00,35.65,36.3,35.4,35.75,77350
2026-02-13 13:45:00,13:45:00,27.15,27.3,27.0,27.1,246675
2026-02-13 13:50:00,13:50:00,33.7,34.35,33.6,33.65,306930
2026-02-13 13:55:00,13:55:00,34.15,34.9,34.15,34.35,375375
2026-02-13 14:00:00,14:00:00,44.45,44.95,43.9,43.95,360880
2026-02-13 14:05:00,14:05:00,26.75,27.25,26.65,27.15,245375
2026-02-13 14:10:00,14:10:00,44.05,44.2,43.55,44.0,216125
2026-02-13 14:15:00,14:15:00,35.0,35.2,34.4,34.55,186550
2026-02-13 14:20:00,14:20:00,34.1,34.7,34.05,34.6,70590
2026-02-13 14:25:00,14:25:00,34.6,35.45,34.6,35.1,171015
2026-02-13 14:30:00,14:30:00,27.15,27.6,26.8,27.05,175110
2026-02-13 14:35:00,14:35:00,33.85,34.45,33.3,34.05,162695
2026-02-13 14:40:00,14:40:00,34.2,34.25,33.4,34.15,133510
2026-02-13 14:45:00,14:45:00,35.4,35.4,34.85,35.0,189345
2026-02-13 14:50:00,14:50:00,34.5,34.85,34.3,34.4,115830
2026-02-13 14:55:00,14:55:00,35.5,35.95,35.5,35.8,119405
2026-02-13 15:00:00,15:00:00,36.25,36.3,32.35,33.0,1138735
2026-02-13 15:05:00,15:05:00,35.0,35.85,35.0,35.35,286975
2026-02-13 15:10:00,15:10:00,35.15,35.4,35.0,35.35,286845
2026-02-13 15:15:00,15:15:00,35.25,35.3,34.6,34.6,472225
2026-02-13 15:20:00,15:20:00,28.6,29.9,28.4,29.8,763620
2026-02-13 15:25:00,15:25:00,35.65,36.2,35.45,36.2,431015
2026-02-16 09:15:00,09:15:00,29.6,29.6,14.35,16.2,2595970
2026-02-16 09:20:00,09:20:00,25.25,26.1,23.1,24.1,2077400
2026-02-16 09:25:00,09:25:00,16.2,16.2,15.2,15.25,637065
2026-02-16 09:30:00,09:30:00,14.65,16.35,14.55,16.0,514280
2026-02-16 09:35:00,09:35:00,18.5,18.5,17.45,18.05,691860
2026-02-16 09:40:00,09:40:00,12.25,12.45,11.3,11.5,580645
2026-02-16 09:45:00,09:45:00,13.15,13.65,13.05,13.15,407745
2026-02-16 09:50:00,09:50:00,13.1,13.3,12.9,13.0,209300
2026-02-16 09:55:00,09:55:00,13.75,14.1,13.35,13.95,365040
2026-02-16 10:00:00,10:00:00,20.25,22.4,20.25,20.7,1342705
2026-02-16 10:05:00,10:05:00,15.3,16.65,15.15,15.95,1407510
