time,open,high,low,close,vol
09:15,484.45,487.95,481.7,487.9,351470
09:16,487.45,491.25,487.2,488.95,539170
09:17,489.0,489.4,488.35,489.05,258333
09:18,489.05,490.15,487.6,489.8,269019
09:19,489.8,489.85,486.7,486.85,249237
09:20,486.8,487.0,485.15,485.2,218570
09:21,485.55,488.15,485.35,487.9,198595
09:22,487.8,488.0,485.5,485.6,166186
09:23,485.6,486.45,485.5,485.75,83576
09:24,485.75,485.85,485.3,485.35,75253
09:25,485.55,485.55,483.5,483.85,163913
09:26,483.7,483.9,482.75,483.55,143512
09:27,483.65,484.05,483.25,483.65,59048
09:28,483.75,484.9,483.35,484.0,185474
09:29,484.0,484.3,483.5,484.2,60394
09:30,484.15,484.65,483.85,484.5,43695
09:31,484.5,485.0,484.0,485.0,54580
09:32,484.8,486.3,484.8,485.1,124352
09:33,485.05,486.0,484.7,485.85,79414
09:34,485.65,485.9,485.45,485.55,49406
09:35,485.25,486.5,485.25,486.05,54886
09:36,486.1,486.2,484.45,484.8,1651135
09:37,484.7,484.85,483.0,483.2,116376
09:38,483.25,483.6,482.55,483.05,57184
09:39,483.0,484.25,482.6,484.25,58162
09:40,484.3,484.3,483.6,483.7,64349
09:41,483.75,484.15,483.75,484.0,18216
09:42,484.0,484.6,483.7,483.95,31654
09:43,483.9,484.15,483.9,484.05,14406
09:44,484.1,484.65,483.75,484.4,19755
09:45,484.4,484.4,483.8,483.8,15225
09:46,483.85,484.0,483.55,483.75,22754
09:47,483.55,483.9,483.25,483.5,32230
09:48,483.35,483.45,483.05,483.2,17548
09:49,483.15,483.4,483.0,483.2,29305
09:50,483.15,483.5,483.0,483.45,9731
09:51,483.5,483.5,483.0,483.5,27475
09:52,483.5,483.95,483.35,483.75,12721
09:53,483.8,483.85,483.2,483.85,22347
09:54,483.85,484.2,483.7,483.8,17365
09:55,483.95,484.1,483.75,484.1,10367
09:56,484.0,484.3,484.0,484.3,17465
09:57,484.05,484.3,484.0,484.3,13149
09:58,484.3,484.45,484.05,484.3,23017
09:59,484.4,484.45,484.2,484.35,12684
10:00,484.45,484.6,484.1,484.35,39704
10:01,484.05,484.35,483.8,483.8,24462
10:02,483.8,484.0,483.6,483.8,23192
10:03,483.7,483.8,483.45,483.65,25629
10:04,483.65,483.65,483.35,483.5,15942
10:05,483.5,484.0,483.5,483.95,9583
10:06,484.0,484.0,483.4,483.65,21043
10:07,483.8,483.85,480.5,481.6,350795
10:08,481.8,482.15,481.3,482.05,54561
10:09,482.05,482.05,481.0,481.0,60496
10:10,480.75,480.8,480.25,480.6,47403
10:11,480.5,480.9,480.15,480.7,44784
10:12,480.8,481.0,480.25,480.65,42001
10:13,480.55,480.6,480.35,480.5,15439
10:14,480.45,480.7,480.25,480.35,33970
10:15,480.6,480.6,480.3,480.6,14917
10:16,480.6,480.6,479.3,479.4,100011
10:17,479.45,479.55,478.6,478.7,60181
10:18,478.7,479.3,478.4,479.1,153535
10:19,479.15,480.0,479.15,479.9,63671
10:20,480.0,480.5,480.0,480.5,41708
10:21,480.5,481.85,480.5,481.7,108282
10:22,481.75,481.8,481.35,481.35,18773
10:23,481.35,481.55,481.05,481.4,22806
10:24,481.4,481.4,480.75,480.8,53038
10:25,480.85,481.45,480.7,481.35,40663
10:26,481.25,481.55,481.2,481.4,16708
10:27,481.3,481.85,481.3,481.65,15551
10:28,481.6,482.0,481.5,482.0,17195
10:29,481.75,482.45,481.3,482.25,101031
10:30,482.4,482.8,482.3,482.5,43790
10:31,482.6,482.65,482.0,482.1,23088
10:32,481.9,482.35,481.7,482.05,21247
10:33,482.05,482.1,481.65,481.65,7853
10:34,481.65,482.4,481.5,482.25,22934
10:35,482.3,482.4,482.2,482.4,9497
10:36,482.3,482.5,481.9,482.0,20359
10:37,482.2,482.2,481.75,481.9,10777
10:38,481.95,482.0,481.15,482.0,21542
10:39,482.0,482.45,481.85,482.3,16263
10:40,482.45,482.45,481.95,482.25,22106
10:41,482.1,482.2,481.85,482.0,6803
10:42,482.0,482.0,481.55,481.75,15364
10:43,481.85,481.85,481.5,481.5,7662
10:44,481.6,482.0,481.5,482.0,6392
10:45,481.95,482.15,481.7,482.05,14992
10:46,482.0,482.15,482.0,482.0,12412
10:47,482.0,482.15,481.6,482.0,41631
10:48,482.0,482.4,481.95,482.2,9128
10:49,482.2,482.35,481.55,481.6,9498
10:50,481.6,481.95,481.55,481.85,6015
10:51,481.9,483.3,481.9,483.3,129096
10:52,483.15,483.5,483.15,483.35,32939
10:53,483.4,484.35,483.25,484.1,124327
10:54,484.1,484.5,484.1,484.25,206690
10:55,484.25,484.4,483.7,483.85,34739
10:56,483.85,484.0,483.6,483.6,42781
10:57,483.6,483.95,483.6,483.9,9272
10:58,483.95,484.0,483.75,484.0,8902
10:59,484.0,484.0,483.7,483.8,10604
11:00,483.8,484.0,483.65,483.9,8574
11:01,484.0,484.0,483.85,483.9,6478
11:02,483.9,484.4,483.9,484.05,48541
11:03,484.15,484.15,483.75,483.75,11384
11:04,483.9,483.9,483.7,483.7,6942
11:05,483.7,483.8,483.65,483.65,8518
11:06,483.65,483.8,483.65,483.8,3658
11:07,483.7,484.0,483.7,484.0,8421
11:08,483.9,484.0,483.7,483.85,13156
11:09,483.95,484.2,483.85,484.1,8806
11:10,484.2,484.25,484.1,484.25,5921
11:11,484.25,484.6,484.0,484.2,28991
11:12,484.2,484.2,484.0,484.0,5261
11:13,484.1,484.1,483.7,483.9,11874
11:14,483.9,484.0,483.7,483.95,8864
11:15,483.95,484.2,483.85,484.1,10191
11:16,484.15,484.45,484.0,484.2,4673
11:17,484.4,484.4,484.2,484.4,10771
11:18,484.2,484.4,484.2,484.35,5684
11:19,484.25,485.0,484.2,484.9,29876
11:20,484.95,484.95,484.4,484.5,10503
11:21,484.4,484.95,484.35,484.7,9932
11:22,484.85,484.9,484.7,484.75,13801
11:23,484.65,484.9,484.6,484.75,10048
11:24,484.7,484.7,484.5,484.6,5736
11:25,484.7,484.75,484.5,484.65,11388
11:26,484.75,484.95,484.6,484.95,7087
11:27,484.95,485.35,484.8,485.2,53115
11:28,485.1,485.4,485.0,485.25,14591
11:29,485.25,485.8,485.1,485.8,33699
11:30,485.7,485.8,485.6,485.7,11674
