datetime,open,high,low,close,volume
2026-02-13 09:15:00,35.0,35.1,27.0,27.0,3881410
2026-02-13 09:20:00,25.6,25.6,23.9,25.3,1456130
2026-02-13 09:25:00,24.8,24.8,24.0,24.15,514735
2026-02-13 09:30:00,22.55,22.6,21.7,22.1,944840
2026-02-13 09:35:00,22.1,22.2,21.85,22.05,1182415
2026-02-13 09:40:00,21.0,21.15,20.3,21.05,815815
2026-02-13 09:45:00,21.1,21.45,20.9,21.25,309790
2026-02-13 09:50:00,20.25,20.65,20.2,20.4,258635
2026-02-13 09:55:00,20.8,20.85,20.55,20.6,191490
2026-02-13 10:00:00,20.3,20.75,20.3,20.6,171925
2026-02-13 10:05:00,20.75,20.8,20.5,20.6,182260
2026-02-13 10:10:00,20.25,20.4,20.1,20.15,131755
2026-02-13 10:15:00,19.95,19.95,19.6,19.95,282685
2026-02-13 10:20:00,20.25,20.7,20.2,20.55,183430
2026-02-13 10:25:00,20.7,20.85,20.65,20.65,154115
2026-02-13 10:30:00,20.85,21.2,20.75,20.95,171665
2026-02-13 10:35:00,26.9,27.25,26.55,27.0,221715
2026-02-13 10:40:00,18.15,18.2,17.8,18.0,188370
2026-02-13 10:45:00,20.9,21.15,20.65,20.65,190190
2026-02-13 10:50:00,19.8,19.9,19.15,19.75,372190
2026-02-13 10:55:00,19.6,20.0,19.45,19.85,89375
2026-02-13 11:00:00,19.15,19.4,19.0,19.35,222625
2026-02-13 11:05:00,18.4,18.45,18.15,18.3,155675
2026-02-13 11:10:00,17.9,18.2,17.85,18.1,168675
2026-02-13 11:15:00,18.0,18.25,17.9,18.05,137735
2026-02-13 11:20:00,17.25,17.35,17.15,17.25,87815
2026-02-13 11:25:00,17.4,17.55,17.4,17.5,141115
2026-02-13 11:30:00,18.05,18.1,17.65,17.65,150865
2026-02-13 11:35:00,18.0,18.1,17.9,18.1,66300
2026-02-13 11:40:00,18.05,18.1,17.95,18.0,43225
2026-02-13 11:45:00,18.45,18.45,18.2,18.4,194220
2026-02-13 11:50:00,18.1,18.25,18.05,18.25,88725
2026-02-13 11:55:00,18.2,18.3,18.0,18.25,111150
2026-02-13 12:00:00,18.45,18.6,18.2,18.25,77415
2026-02-13 12:05:00,18.3,18.4,18.2,18.25,110890
2026-02-13 12:10:00,18.6,18.85,18.5,18.8,87555
2026-02-13 12:15:00,19.4,19.55,19.15,19.15,113555
2026-02-13 12:20:00,19.55,20.0,19.3,19.9,170495
2026-02-13 12:25:00,19.45,19.6,19.2,19.5,136760
2026-02-13 12:30:00,20.6,20.9,20.05,20.4,402285
2026-02-13 12:35:00,22.15,22.15,21.3,21.6,478725
2026-02-13 12:40:00,21.3,21.3,20.4,20.55,117260
2026-02-13 12:45:00,16.35,16.75,16.25,16.75,40300
2026-02-13 12:50:00,19.35,19.45,18.45,18.8,413985
2026-02-13 12:55:00,18.2,18.35,17.85,17.95,465400
2026-02-13 13:00:00,17.9,18.3,17.9,18.1,138840
2026-02-13 13:05:00,17.85,18.0,17.8,17.85,106340
2026-02-13 13:10:00,18.05,18.2,17.95,18.1,110110
2026-02-13 13:15:00,18.85,19.35,18.8,19.15,205010
2026-02-13 13:20:00,19.1,19.2,18.55,18.75,178425
2026-02-13 13:25:00,17.85,17.9,17.6,17.7,181805
2026-02-13 13:30:00,17.8,18.1,17.75,17.95,109915
2026-02-13 13:35:00,17.85,17.95,17.75,17.85,62140
2026-02-13 13:40:00,18.0,18.2,17.9,18.05,25805
2026-02-13 13:45:00,15.0,15.05,14.9,14.95,42315
2026-02-13 13:50:00,17.9,18.15,17.8,18.05,256815
2026-02-13 13:55:00,18.15,18.35,18.05,18.1,158210
2026-02-13 14:00:00,21.45,21.65,21.4,21.5,106340
2026-02-13 14:05:00,15.35,15.4,15.25,15.4,58045
2026-02-13 14:10:00,21.65,21.75,21.55,21.7,70005
2026-02-13 14:15:00,18.2,18.3,18.05,18.1,99580
2026-02-13 14:20:00,18.0,18.15,17.95,18.15,59410
2026-02-13 14:25:00,18.2,18.4,18.2,18.35,113425
2026-02-13 14:30:00,15.35,15.5,15.35,15.35,55250
2026-02-13 14:35:00,18.2,18.45,18.2,18.4,169065
2026-02-13 14:40:00,18.6,18.8,18.45,18.75,186095
2026-02-13 14:45:00,19.6,19.6,19.25,19.3,285545
2026-02-13 14:50:00,19.15,19.25,19.05,19.2,141440
2026-02-13 14:55:00,19.9,20.15,19.9,20.05,196300
2026-02-13 15:00:00,20.3,20.3,18.8,19.2,791570
2026-02-13 15:05:00,20.25,20.6,20.15,20.45,303160
2026-02-13 15:10:00,20.15,20.3,19.9,20.15,336570
2026-02-13 15:15:00,20.4,20.45,19.35,19.35,543010
