time,open,high,low,close,vol
09:15,1466.0,1466.0,1448.1,1453.1,26146
09:16,1453.0,1456.0,1449.5,1455.7,23048
09:17,1454.1,1456.2,1451.2,1452.6,12508
09:18,1452.9,1453.5,1449.1,1449.1,8007
09:19,1450.7,1452.2,1449.6,1451.1,5614
09:20,1451.3,1452.2,1448.6,1450.2,8920
09:21,1450.2,1451.5,1449.9,1450.0,2106
09:22,1450.0,1450.7,1446.9,1448.4,15166
09:23,1448.5,1450.0,1447.6,1447.7,4248
09:24,1447.7,1449.1,1447.7,1449.1,2252
09:25,1448.7,1451.4,1448.7,1451.0,4339
09:26,1451.0,1453.0,1451.0,1451.7,6668
09:27,1451.7,1452.8,1449.6,1450.5,5750
09:28,1450.5,1453.0,1450.0,1451.7,2839
09:29,1452.2,1452.3,1450.7,1451.7,2761
09:30,1450.5,1452.3,1450.5,1451.8,3948
09:31,1451.8,1453.8,1451.8,1453.0,4313
09:32,1453.3,1455.8,1453.2,1454.9,3570
09:33,1454.9,1456.3,1454.4,1456.3,3532
09:34,1455.6,1458.3,1454.8,1458.3,4622
09:35,1458.2,1459.2,1457.8,1458.4,4266
09:36,1458.5,1458.9,1456.9,1458.8,5397
09:37,1457.8,1458.7,1453.7,1454.8,14881
09:38,1454.8,1457.3,1454.8,1457.3,9520
09:39,1457.1,1457.9,1455.8,1456.1,6605
09:40,1455.7,1456.0,1454.9,1455.7,2597
09:41,1456.0,1457.6,1456.0,1457.2,1859
09:42,1457.5,1458.0,1456.2,1457.4,6034
09:43,1458.0,1458.0,1456.1,1456.1,4620
09:44,1456.3,1457.1,1454.9,1457.1,3714
09:45,1457.1,1457.4,1455.9,1456.4,4451
09:46,1456.4,1458.6,1456.4,1457.9,8996
09:47,1457.4,1458.0,1456.3,1457.4,3678
09:48,1457.1,1459.1,1456.7,1458.8,2019
09:49,1458.9,1459.3,1456.9,1457.1,6902
09:50,1457.6,1457.6,1456.7,1456.7,3099
09:51,1456.7,1457.5,1456.6,1457.4,3423
09:52,1457.9,1459.1,1457.5,1458.6,2573
09:53,1458.4,1459.4,1458.1,1458.9,2837
09:54,1459.4,1459.9,1458.9,1459.4,2951
09:55,1459.2,1459.5,1458.5,1458.7,2416
09:56,1458.3,1458.8,1457.0,1457.6,2748
09:57,1457.5,1457.9,1456.7,1457.8,5200
09:58,1457.9,1458.0,1457.2,1457.7,2382
09:59,1457.7,1458.0,1457.5,1457.7,2062
10:00,1457.9,1458.0,1456.0,1456.6,5255
10:01,1456.6,1456.6,1454.0,1454.5,3641
10:02,1455.4,1455.4,1454.0,1454.0,2403
10:03,1453.7,1455.0,1453.0,1454.7,2713
10:04,1454.3,1454.3,1452.3,1452.5,3808
