time,open,high,low,close,vol
09:15,906.0,906.0,896.1,904.55,28915
09:16,905.0,905.25,902.95,904.25,14875
09:17,904.7,906.1,903.5,906.1,16859
09:18,905.9,906.95,905.55,906.75,8967
09:19,906.75,906.75,903.7,904.05,5976
09:20,904.65,904.8,903.2,904.0,3923
09:21,903.55,903.8,901.6,901.6,5970
09:22,902.3,902.3,900.9,900.9,10431
09:23,901.2,902.6,900.0,900.35,27596
09:24,900.3,900.3,897.5,897.9,13778
09:25,898.1,899.05,897.65,898.8,6279
09:26,899.2,899.2,898.15,898.45,5230
09:27,898.55,898.8,897.0,897.8,7577
09:28,897.85,899.0,896.7,897.05,10955
09:29,897.3,897.3,896.5,897.0,2075
09:30,896.95,897.1,896.3,896.75,3238
09:31,896.75,897.75,896.6,897.0,5368
09:32,897.05,899.45,896.9,899.45,3056
09:33,898.0,899.45,897.0,897.6,21408
09:34,897.6,899.0,897.15,898.65,15222
09:35,898.45,899.5,897.9,898.35,9209
09:36,898.1,898.25,897.3,898.25,969
09:37,898.2,898.2,895.25,896.8,24714
09:38,897.2,899.8,896.8,899.7,7094
09:39,899.4,900.3,899.4,900.3,3653
09:40,900.05,900.8,899.15,900.8,15037
09:41,900.25,902.5,900.0,902.1,7633
09:42,902.0,903.55,902.0,903.5,9106
09:43,903.05,903.45,902.85,903.05,5288
09:44,903.15,904.45,903.05,904.45,6557
09:45,904.45,904.55,903.6,904.1,3571
09:46,904.05,905.9,904.0,905.4,15489
09:47,905.4,905.7,903.55,904.2,13101
09:48,903.9,904.0,903.4,903.85,5173
09:49,903.85,905.5,903.6,905.5,15858
09:50,905.1,906.9,904.9,906.3,17983
09:51,905.95,906.55,905.4,905.75,17420
09:52,905.75,906.5,905.1,906.3,6116
09:53,906.0,908.65,905.75,907.35,24929
09:54,907.8,908.8,907.1,907.95,18813
09:55,907.25,907.9,907.2,907.2,1308
09:56,907.3,907.8,906.2,906.45,8016
09:57,906.2,906.7,905.75,905.75,5840
09:58,905.75,906.15,903.65,903.65,14927
09:59,904.0,905.55,903.7,904.6,13380
10:00,904.5,904.9,903.4,903.65,2350
10:01,903.3,903.5,902.3,903.1,33619
10:02,903.4,903.8,902.9,903.4,1841
10:03,903.15,903.4,902.7,903.1,5104
10:04,902.95,903.05,901.75,901.8,44961
10:05,902.05,902.5,901.8,901.95,4720
10:06,901.95,902.35,900.0,901.05,16018
10:07,901.4,902.7,901.4,901.7,8510
10:08,901.7,901.7,900.95,901.5,4386
10:09,901.5,901.75,899.95,900.0,11517
10:10,899.6,900.25,899.1,900.25,27975
10:11,900.1,900.15,899.2,899.65,70330
10:12,899.6,900.4,899.25,900.0,32367
10:13,899.7,900.25,899.4,900.0,28810
10:14,900.4,901.15,900.05,900.55,13881
10:15,901.05,901.65,900.6,901.2,14284
10:16,901.2,902.95,901.2,902.4,14492
10:17,902.1,902.1,900.4,901.2,19125
10:18,901.2,901.5,900.45,901.2,4291
10:19,901.05,902.0,900.8,900.8,12460
10:20,900.75,903.35,900.5,903.3,34651
10:21,904.45,905.35,904.05,904.95,17098
10:22,904.7,904.75,903.1,903.4,7727
10:23,903.4,903.7,903.1,903.45,4616
10:24,903.45,903.6,902.6,903.35,6774
10:25,903.6,903.8,903.0,903.15,5103
10:26,903.15,903.15,902.2,902.7,5370
10:27,902.7,903.35,902.5,902.5,8291
10:28,902.7,902.7,901.65,901.65,7760
10:29,901.9,902.65,901.65,902.5,5973
10:30,902.9,903.75,902.5,903.3,10824
10:31,903.3,903.8,902.9,902.9,5273
10:32,903.15,903.25,902.5,902.8,1748
10:33,903.15,903.15,902.35,903.0,3457
10:34,903.0,903.0,902.3,902.8,3744
10:35,902.85,903.85,902.85,903.8,6036
10:36,903.45,903.8,903.15,903.7,4192
10:37,903.3,903.65,902.75,903.35,4217
10:38,903.15,903.35,903.15,903.25,468
10:39,903.4,904.7,903.3,904.4,11110
10:40,904.45,904.95,904.1,904.25,18617
10:41,904.25,904.35,903.25,903.55,4560
10:42,903.3,904.0,903.1,903.4,5463
10:43,903.55,903.55,903.25,903.4,1153
10:44,903.4,903.9,902.85,903.05,17257
10:45,903.2,903.35,901.85,902.3,10594
10:46,902.3,902.9,901.65,902.0,11917
10:47,902.05,902.05,901.85,901.85,5847
10:48,901.6,901.9,901.3,901.6,5719
10:49,901.65,902.1,901.35,902.1,2660
10:50,902.1,902.75,901.95,902.6,3930
10:51,902.6,904.15,902.5,903.9,6541
10:52,903.75,904.0,902.45,902.7,4316
10:53,902.5,902.7,902.1,902.1,1133
10:54,902.25,903.25,901.65,902.6,10393
10:55,902.3,902.45,902.0,902.05,1890
10:56,902.05,902.55,901.9,901.9,12360
10:57,901.8,902.3,901.8,902.3,2926
10:58,902.3,902.55,902.1,902.3,3899
10:59,902.25,903.1,902.25,903.05,2362
11:00,903.25,904.9,903.15,904.75,13560
11:01,904.6,906.2,904.6,905.8,6063
11:02,905.8,906.5,905.4,905.45,4540
11:03,905.45,905.65,904.8,905.4,2662
11:04,905.65,906.0,905.35,905.45,6965
11:05,905.45,907.2,905.4,907.2,7383
11:06,907.3,907.95,906.85,907.55,6384
11:07,907.85,907.85,907.0,907.05,1667
11:08,907.05,907.4,906.55,907.0,3653
11:09,906.75,907.7,906.45,907.7,4558
11:10,907.95,908.25,907.35,907.35,16260
11:11,907.15,907.85,907.15,907.7,2076
11:12,907.45,908.25,907.2,907.55,5217
11:13,907.55,907.65,906.65,906.95,5249
11:14,906.95,907.45,906.65,907.4,2576
11:15,907.45,907.45,906.7,907.0,1337
11:16,907.0,907.4,906.85,907.4,1856
11:17,907.75,907.75,905.9,906.15,3268
11:18,905.9,906.4,905.9,906.1,1259
11:19,906.25,907.1,906.2,906.55,1366
11:20,906.85,907.5,906.45,907.3,1197
11:21,907.3,907.4,906.25,907.05,5184
11:22,907.05,908.3,907.0,907.95,6460
11:23,908.45,908.75,907.7,907.7,7155
11:24,907.65,908.8,907.15,908.45,18771
11:25,908.4,909.55,907.8,909.0,6084
11:26,909.0,911.8,908.75,911.2,12413
11:27,911.25,912.35,910.8,911.9,12108
11:28,912.0,912.25,911.15,911.25,5542
11:29,911.45,912.15,911.15,912.15,3267
11:30,912.15,912.35,911.95,912.35,3566
