datetime,open,high,low,close,volume
2026-03-30 09:15:00,30.3,83.25,30.3,71.8,2983370
2026-03-30 09:16:00,70.45,71.8,52.05,62.6,2143895
2026-03-30 09:17:00,60.65,63.45,56.3,56.3,1288755
2026-03-30 09:18:00,56.3,60.4,52.05,57.25,1220180
2026-03-30 09:19:00,57.65,60.25,53.75,54.25,1158170
2026-03-30 09:20:00,54.05,58.75,52.5,55.7,1102790
2026-03-30 09:21:00,55.45,58.3,53.5,53.6,662155
2026-03-30 09:22:00,70.4,72.6,61.05,66.3,3249155
2026-03-30 09:23:00,66.3,67.9,63.7,65.05,1632540
2026-03-30 09:24:00,65.4,70.65,63.85,67.2,1416740
2026-03-30 09:25:00,67.1,70.5,64.35,65.45,1428895
2026-03-30 09:26:00,64.9,65.45,59.1,62.45,2138370
2026-03-30 09:27:00,61.9,67.2,61.85,65.75,1340430
2026-03-30 09:28:00,66.8,68.95,59.6,60.05,1580540
2026-03-30 09:29:00,78.05,78.1,67.45,68.85,2835625
2026-03-30 09:30:00,68.0,69.05,61.25,68.35,2200705
2026-03-30 09:31:00,66.15,68.35,58.15,58.55,1798485
2026-03-30 09:32:00,74.9,75.55,68.95,72.7,4827355
2026-03-30 09:33:00,72.7,75.7,71.15,72.8,2654340
2026-03-30 09:34:00,91.2,91.2,73.45,75.15,2948985
2026-03-30 09:35:00,59.7,65.5,59.55,63.65,3931265
2026-03-30 09:36:00,79.55,80.35,67.2,68.3,1947725
2026-03-30 09:37:00,69.9,74.6,68.3,71.1,1309165
2026-03-30 09:38:00,72.25,78.05,69.35,75.45,1126060
2026-03-30 09:39:00,75.9,78.6,72.35,74.95,1002040
2026-03-30 09:40:00,75.1,82.15,74.2,76.0,1312090
2026-03-30 09:41:00,76.75,76.75,67.5,72.65,1093040
2026-03-30 09:42:00,57.95,63.15,56.9,62.55,1620970
2026-03-30 09:43:00,62.6,66.4,60.0,66.4,2174250
2026-03-30 09:44:00,67.05,70.05,66.4,67.0,3599180
2026-03-30 09:45:00,82.9,83.85,73.35,75.45,1179230
2026-03-30 09:46:00,75.95,77.4,71.15,75.1,782015
2026-03-30 09:47:00,60.05,64.55,58.55,64.5,1246700
2026-03-30 09:48:00,63.55,71.85,63.55,70.0,4007510
2026-03-30 09:49:00,70.45,73.7,67.05,71.0,3951350
2026-03-30 09:50:00,55.25,59.7,54.7,56.25,1258400
2026-03-30 09:51:00,71.75,71.9,58.4,62.6,4200625
2026-03-30 09:52:00,61.1,68.65,59.65,66.75,2272920
2026-03-30 09:53:00,67.8,70.1,64.15,68.7,1681875
2026-03-30 09:54:00,52.85,56.0,51.25,55.15,792350
2026-03-30 09:55:00,55.45,59.4,54.05,57.75,1181180
2026-03-30 09:56:00,58.3,58.3,52.05,54.6,901290
2026-03-30 09:57:00,54.35,55.15,50.35,53.1,840190
2026-03-30 09:58:00,52.9,61.5,52.9,58.35,1609595
2026-03-30 09:59:00,58.65,58.65,52.4,54.15,942240
2026-03-30 10:00:00,54.0,56.85,53.05,55.65,683150
2026-03-30 10:01:00,56.6,56.6,50.3,51.6,807755
2026-03-30 10:02:00,68.6,68.8,59.4,60.5,3467620
2026-03-30 10:03:00,60.65,60.7,52.05,53.7,4069390
2026-03-30 10:04:00,53.5,59.1,53.35,57.9,2306330
2026-03-30 10:05:00,59.0,62.05,57.65,61.15,1992705
2026-03-30 10:06:00,59.55,65.6,59.55,63.8,2360865
2026-03-30 10:07:00,47.85,53.1,47.85,51.7,918580
2026-03-30 10:08:00,51.0,54.75,51.0,53.5,1277900
2026-03-30 10:09:00,52.4,56.75,51.6,54.5,1069185
2026-03-30 10:10:00,54.75,63.4,54.4,59.6,1960270
2026-03-30 10:11:00,44.25,47.95,42.75,47.95,1888055
2026-03-30 10:12:00,48.1,48.1,44.55,45.95,2413905
2026-03-30 10:13:00,45.0,50.1,44.35,44.5,2295865
2026-03-30 10:14:00,59.75,60.2,51.0,51.0,1920945
2026-03-30 10:15:00,51.75,56.8,47.95,56.8,1659645
2026-03-30 10:16:00,56.75,58.55,53.7,55.5,1114620
2026-03-30 10:17:00,40.5,44.0,40.35,43.8,1156870
2026-03-30 10:18:00,43.65,46.75,43.35,46.75,1742065
2026-03-30 10:19:00,45.85,46.75,43.6,44.6,1128660
2026-03-30 10:20:00,44.9,46.65,43.7,44.7,1317095
2026-03-30 10:21:00,45.55,46.2,42.25,43.95,1381705
2026-03-30 10:22:00,43.65,47.4,41.75,45.6,1698710
2026-03-30 10:23:00,44.65,50.35,43.8,47.7,2079285
2026-03-30 10:24:00,48.2,49.1,44.65,46.65,1813760
2026-03-30 10:25:00,46.9,47.1,41.75,42.8,1343485
2026-03-30 10:26:00,42.8,44.5,40.75,43.85,1382225
2026-03-30 10:27:00,43.9,46.55,42.05,46.0,995930
2026-03-30 10:28:00,44.85,48.9,44.2,46.95,2002780
2026-03-30 10:29:00,46.5,48.2,44.3,48.2,1177800
2026-03-30 10:30:00,47.75,48.2,44.7,44.8,1219010
2026-03-30 10:31:00,44.55,47.95,44.3,47.35,1053715
2026-03-30 10:32:00,47.4,48.1,45.1,46.8,1400555
2026-03-30 10:33:00,32.45,34.8,31.8,34.8,670150
2026-03-30 10:34:00,49.45,49.55,44.45,44.5,1871220
2026-03-30 10:35:00,43.6,44.5,40.6,41.5,1967290
2026-03-30 10:36:00,41.45,42.6,39.15,42.5,1559740
2026-03-30 10:37:00,42.45,45.2,40.8,44.0,1397240
2026-03-30 10:38:00,43.8,44.0,37.5,37.6,1892540
2026-03-30 10:39:00,38.0,39.9,36.55,39.2,1413100
2026-03-30 10:40:00,39.75,39.85,35.75,38.0,1372605
2026-03-30 10:41:00,38.35,43.7,37.35,42.7,1471275
2026-03-30 10:42:00,42.7,44.35,41.45,43.55,1078350
2026-03-30 10:43:00,29.7,33.6,29.25,32.55,1125735
2026-03-30 10:44:00,32.75,33.2,30.8,32.3,950495
2026-03-30 10:45:00,32.25,33.25,31.05,31.5,766675
2026-03-30 10:46:00,31.6,31.6,27.7,29.1,1177865
2026-03-30 10:47:00,42.9,46.4,39.45,39.5,1595360
2026-03-30 10:48:00,39.4,41.95,38.2,41.95,1337115
2026-03-30 10:49:00,40.95,42.5,39.6,40.75,967525
2026-03-30 10:50:00,41.75,42.0,39.0,39.35,752765
2026-03-30 10:51:00,26.55,30.2,26.45,29.6,562250
2026-03-30 10:52:00,28.45,31.2,28.45,30.5,632645
2026-03-30 10:53:00,30.4,37.3,30.0,37.05,1670435
2026-03-30 10:54:00,38.1,38.1,34.8,35.2,1545180
2026-03-30 10:55:00,35.05,39.0,34.65,37.65,1619280
2026-03-30 10:56:00,37.5,38.85,29.4,30.9,2289040
2026-03-30 10:57:00,30.9,31.1,27.4,28.9,1345695
2026-03-30 10:58:00,29.0,32.55,28.8,29.95,1038570
2026-03-30 10:59:00,30.4,35.25,29.8,35.2,777075
2026-03-30 11:00:00,35.3,35.75,31.4,33.2,960310
2026-03-30 11:01:00,34.15,35.4,33.2,35.4,995280
2026-03-30 11:02:00,35.25,35.4,31.55,33.05,689780
2026-03-30 11:03:00,33.1,33.45,28.8,28.8,853905
2026-03-30 11:04:00,28.75,30.8,28.4,30.0,594620
2026-03-30 11:05:00,30.15,31.0,29.2,30.6,608920
2026-03-30 11:06:00,30.85,32.6,29.9,30.75,639730
2026-03-30 11:07:00,30.65,31.9,29.85,30.65,612885
2026-03-30 11:08:00,30.8,34.65,30.65,33.35,792155
2026-03-30 11:09:00,22.25,28.95,22.25,28.95,2984085
2026-03-30 11:10:00,28.5,33.4,26.5,27.2,5340465
2026-03-30 11:11:00,27.7,30.4,26.9,29.65,2734875
2026-03-30 11:12:00,29.95,30.55,29.0,30.0,2245620
2026-03-30 11:13:00,43.7,44.25,36.15,36.7,1527760
2026-03-30 11:14:00,36.4,40.5,36.15,36.15,1127295
2026-03-30 11:15:00,23.75,26.1,23.65,26.1,1694225
2026-03-30 11:16:00,38.45,39.05,34.45,34.5,1112215
2026-03-30 11:17:00,22.6,24.4,22.35,23.45,1083355
2026-03-30 11:18:00,35.6,36.7,33.75,33.75,551655
2026-03-30 11:19:00,34.35,35.95,32.7,33.4,769275
2026-03-30 11:20:00,22.35,24.1,21.85,23.5,1203410
2026-03-30 11:21:00,35.8,36.75,32.05,32.85,1169545
2026-03-30 11:22:00,33.7,35.65,32.85,34.3,599885
2026-03-30 11:23:00,22.45,23.95,21.35,23.6,1136980
2026-03-30 11:24:00,35.45,35.8,33.45,34.25,632775
2026-03-30 11:25:00,34.0,35.3,33.6,34.25,724425
2026-03-30 11:26:00,22.35,25.4,21.7,24.3,1927575
2026-03-30 11:27:00,24.0,25.25,23.4,25.1,1218100
2026-03-30 11:28:00,25.15,26.65,24.65,25.0,1487980
2026-03-30 11:29:00,25.3,26.2,24.25,25.25,1299870
2026-03-30 11:30:00,25.75,27.4,24.25,24.5,2313350
2026-03-30 11:31:00,37.55,38.4,31.9,31.95,1454570
2026-03-30 11:32:00,30.95,31.95,29.6,30.25,2020200
2026-03-30 11:33:00,30.2,34.15,30.2,32.75,1222845
2026-03-30 11:34:00,32.0,32.75,26.9,27.6,1914705
2026-03-30 11:35:00,27.65,27.65,23.25,24.85,2422615
2026-03-30 11:36:00,25.3,27.0,24.35,24.35,1662050
2026-03-30 11:37:00,36.8,37.45,32.15,32.35,2532725
2026-03-30 11:38:00,32.65,34.55,31.65,31.85,2156440
2026-03-30 11:39:00,20.8,24.65,19.9,23.5,1850485
2026-03-30 11:40:00,23.4,26.15,23.0,23.0,1812135
2026-03-30 11:41:00,23.05,25.55,22.5,24.45,1008800
2026-03-30 11:42:00,24.45,26.2,24.1,26.2,892255
2026-03-30 11:43:00,25.9,27.8,25.1,25.2,1430585
2026-03-30 11:44:00,25.35,28.45,25.2,27.5,1062165
