datetime,open,high,low,close,volume
2026-03-16 09:15:00,150.05,173.35,112.6,135.95,2084745
2026-03-16 09:20:00,124.6,128.5,114.35,116.95,1203475
2026-03-16 09:25:00,130.25,130.7,119.75,122.8,804375
2026-03-16 09:30:00,118.8,131.3,116.95,128.1,1608555
2026-03-16 09:35:00,142.15,148.3,138.55,143.8,1409460
2026-03-16 09:40:00,155.3,172.65,154.65,171.8,2033525
2026-03-16 09:45:00,153.1,169.1,150.85,166.35,1952730
2026-03-16 09:50:00,155.3,156.3,150.65,153.35,647530
2026-03-16 09:55:00,103.95,107.5,102.7,106.8,442325
2026-03-16 10:00:00,123.8,128.6,123.2,127.65,1078805
2026-03-16 10:05:00,132.2,136.4,130.2,135.8,1350830
2026-03-16 10:10:00,105.25,107.5,102.3,104.0,204230
2026-03-16 10:20:00,95.0,95.0,85.0,85.0,2190110
2026-03-16 10:25:00,70.3,72.6,68.65,71.25,436670
2026-03-16 10:30:00,80.2,86.1,79.85,84.8,1007955
2026-03-16 10:35:00,82.2,86.6,81.25,86.35,544050
2026-03-16 10:40:00,82.9,84.9,81.85,83.85,375180
2026-03-16 10:45:00,81.95,83.0,80.55,81.3,456690
2026-03-16 10:50:00,80.1,81.2,76.0,76.65,668070
2026-03-16 10:55:00,96.85,97.6,90.55,92.5,1461460
2026-03-16 11:00:00,87.8,88.95,84.45,84.75,456105
2026-03-16 11:15:00,136.1,144.35,132.4,142.8,1411215
2026-03-16 11:20:00,133.25,136.5,125.0,133.85,3383640
2026-03-16 11:25:00,135.95,138.0,128.15,131.15,1359995
2026-03-16 11:30:00,152.4,153.25,147.1,152.2,321165
2026-03-16 11:35:00,112.95,117.85,110.5,113.25,342225
2026-03-16 11:40:00,120.05,123.3,117.85,122.05,683410
2026-03-16 11:45:00,112.45,121.4,112.45,119.6,843960
2026-03-16 11:50:00,118.55,120.8,116.95,120.6,390260
2026-03-16 11:55:00,113.65,115.6,108.9,109.25,659750
2026-03-16 12:00:00,110.55,122.95,110.55,120.35,659620
2026-03-16 12:05:00,116.35,121.05,115.0,116.25,637975
2026-03-16 12:10:00,117.15,117.55,111.65,112.3,492765
2026-03-16 12:15:00,117.85,121.45,116.7,117.45,349830
2026-03-16 12:20:00,138.4,139.75,133.85,138.85,306020
2026-03-16 12:25:00,128.0,129.3,122.45,128.85,681070
2026-03-16 12:30:00,122.55,123.5,116.95,121.25,740480
2026-03-16 12:35:00,129.65,129.9,115.3,117.55,815945
2026-03-16 12:40:00,110.95,110.95,106.6,108.3,409110
2026-03-16 12:55:00,110.45,111.65,107.15,108.95,300430
2026-03-16 13:15:00,91.45,97.6,90.5,95.4,475930
2026-03-16 13:20:00,106.4,108.5,103.4,104.8,684775
2026-03-16 13:35:00,108.95,111.85,107.75,110.8,223470
2026-03-16 13:50:00,105.45,107.6,101.2,102.6,275340
2026-03-16 13:55:00,109.5,111.85,106.55,109.1,410800
2026-03-16 14:05:00,85.55,91.2,85.5,90.75,610805
2026-03-16 14:10:00,90.05,93.5,90.05,92.2,593515
2026-03-16 14:15:00,143.15,146.9,136.75,137.75,1484405
2026-03-16 14:20:00,172.65,185.2,172.65,182.4,3583320
2026-03-16 14:25:00,220.3,230.7,200.5,201.05,1810510
2026-03-16 14:30:00,186.45,195.85,177.25,177.4,1886235
2026-03-16 14:35:00,216.45,222.6,212.35,218.65,397475
2026-03-16 14:40:00,257.7,266.55,244.0,257.15,648960
2026-03-16 14:45:00,267.2,268.25,260.2,260.9,197665
2026-03-16 14:50:00,247.0,251.5,233.6,238.55,611910
2026-03-16 14:55:00,250.0,251.15,233.35,237.25,493025
2026-03-16 15:00:00,242.3,243.25,214.3,216.2,728520
2026-03-16 15:05:00,240.1,248.75,235.65,242.0,106730
2026-03-16 15:10:00,228.25,231.4,223.9,228.45,260520
2026-03-16 15:15:00,214.85,215.8,206.5,210.45,319215
2026-03-16 15:20:00,159.25,160.7,151.7,155.75,374270
2026-03-16 15:25:00,171.9,174.65,167.85,172.35,351130
